,close,high,low,open,volume,returns,log_returns,hl_spread,vwap,rsi_14,rsi_7,macd,macd_sig,macd_diff,stoch_k,bb_high,bb_low,bb_width,atr_14,ema_9,ema_21,ema_50,sma_20,adx,obv,vol_sma,vol_ratio,target
2019-03-14,107.4284439086914,108.00032119682908,107.18469832716758,107.3815730595886,30763400.0,0.000786009639652141,0.0007857008958484726,0.007592243171228777,99.82665177219977,70.56675512397567,77.39704788153442,1.8862603796896593,1.7736453625658968,0.11261501712376254,90.46870522052713,108.46016461780223,99.87877504894581,8.237912300583774,1.593892374236399,105.7539844439472,104.03654424279425,101.15425742081896,104.16946983337402,23.491898683927097,264791300.0,24755795.0,1.242674694955262,1
2019-03-15,108.6659698486328,109.92222036239326,107.4284590940678,108.13158630320892,54681100.0,0.01151953705103681,0.01145369236848155,0.022948870486309222,100.15052544999863,73.79381994494847,82.58275028771403,2.015150814380746,1.8219464529288667,0.19320436145187947,84.14204535126999,108.83633951448493,100.38990865446038,8.073968666879933,1.6581698084839316,106.33638152488433,104.4574011160523,101.44883437877245,104.61312408447266,24.843712743119106,319472400.0,26400615.0,2.0712055382043184,1
2019-03-18,110.22222900390624,110.25972998275344,108.7972275706145,108.90972335457572,31207600.0,0.014321495105056758,0.01421991123388296,0.013268670261487047,100.35682342438186,77.18195198308146,86.96900918176759,2.2173146965180024,1.9010201016466939,0.3162945948713085,99.54596026412231,109.62350959050202,100.52245064509368,8.661654913760984,1.6535691174579823,107.11355102068872,104.98147637858447,101.79288906995417,105.07298011779785,26.210500367378785,350680000.0,26630650.0,1.171867753885091,1
2019-03-19,110.29721069335938,111.03783879618774,109.67845538495376,110.7097070797174,37588700.0,0.0006802773826184438,0.0006800460988452619,0.012324730631794859,100.59615928226202,77.33400303116609,87.15089864038323,2.356418104228453,1.9920997021630458,0.36431840206540733,91.80495708661088,110.22340239870213,100.85443497312404,8.877263044034413,1.6325558527276962,107.75028295522286,105.46472495265492,102.12639187871517,105.53891868591309,27.73206740329154,388268700.0,27608160.0,1.3615068878186738,0
2019-03-20,110.17534637451172,111.32847817984664,109.41597125427904,110.05347356280156,28113300.0,-0.001104872172936977,-0.0011054829941572713,0.01735875573348815,100.7656073288904,76.44244112711094,84.90378378776484,2.428827117834487,2.079445185297334,0.349381932537153,87.63815484186134,110.51122198255001,101.53880853502812,8.462543887045666,1.6525523579305463,108.23529563908063,105.89296326373281,102.44203715306013,106.02501525878907,29.2377241489546,360155400.0,27933440.0,1.006438877560372,1
2019-03-21,112.70660400390624,113.26910433445914,109.77221523934608,109.81909324713372,29854400.0,0.02297480981625588,0.022714862830790817,0.031026479113787024,100.98577958446702,81.27208324104608,90.70903319583208,2.65980257052216,2.1955166623422993,0.46428590817986093,95.00832936039971,111.59565933655242,101.46781188537142,9.506882989465593,1.784290696300726,109.12955731204576,106.51238514920311,102.84456918642664,106.53173561096192,31.188153110349567,390009800.0,27973000.0,1.0672577127944805,0
2019-03-22,109.73473358154295,112.11598500645276,109.72535654842994,112.03161316617714,33624500.0,-0.026368201301321115,-0.02672207689447866,0.02178552204937338,101.16377101769079,64.54178017977543,59.413695066287275,2.573382819470453,2.2710898937679302,0.30229292570252264,68.63572560134826,111.9278234982824,101.70565428492073,9.569819598906875,1.8697876076704092,109.25059256594521,106.80532591577946,103.11477171172533,106.81673889160156,32.955515350145376,356385300.0,28266065.0,1.1895713110402881,1
2019-03-25,110.30660247802734,110.63472708580538,109.05034478350288,109.27534349275352,27067100.0,0.005211375448954225,0.0051978432258883945,0.014363440326412954,101.31108868496939,65.99251559602263,62.33127913717194,2.5219679085999616,2.3212654967343367,0.20070241186562487,73.71053360630683,112.32300365604722,101.87953922115004,9.751018166842622,1.8494015144298444,109.46179454836165,107.12362378507473,103.396804290796,107.10127143859863,33.95926551699411,383452400.0,28431890.0,0.9519979150172571,1
2019-03-26,110.5409698486328,111.29096787353257,109.54721191558592,111.20659604617036,26097700.0,0.0021246903208005374,0.0021224363584043007,0.01577474813487186,101.4522889404566,66.59571215791894,63.582966567769205,2.471641168580504,2.3513406311035703,0.12030053747693392,75.79032744675068,112.72241011869882,102.00044525849846,9.986794224923473,1.8418554032524732,109.67762960841588,107.43429160903455,103.67696764600528,107.36142768859864,35.10528099765024,409550100.0,28659940.0,0.9105985567311027,0
2019-03-27,109.47220611572266,110.82221252665568,108.30032753750416,110.512834865387,22733400.0,-0.009668485217504741,-0.009715528491080145,0.023036760458500682,101.55775730379895,61.25956833948489,54.031063917959635,2.318787029830773,2.344829910849011,-0.026042881018238262,66.30603693799094,112.91331738368535,102.24078723057247,9.920824120225166,1.890428945102405,109.63654490987724,107.619556564188,103.90423189971969,107.57705230712891,35.05862461419431,386816700.0,28722255.0,0.7914907795366346,1
2019-03-28,109.62222290039062,110.23160126325322,108.87221766108588,110.1003514192619,18334800.0,0.0013703641315987447,0.0013694260395927858,0.012400620660671689,101.64239380410166,61.72318589171207,55.13479603897205,2.1845717412131194,2.312778276921833,-0.12820653570871343,60.467487853924105,113.07951700342633,102.53396489964985,9.781904184003656,1.8524971348927577,109.63368050797993,107.80161714020642,104.12846684092247,107.80674095153809,35.01530082955666,405151500.0,28184800.0,0.6505208481167154,1
2019-03-29,110.56907653808594,110.92532500788148,109.6503206966639,110.69094932056323,25399800.0,0.008637424170422792,0.008600335038959808,0.011531292031532938,101.77031943062013,64.60254072240511,61.87534068274642,2.1300543922694146,2.276233499991349,-0.14617910772193454,64.74887895069774,113.35223688408863,102.76843343451489,9.794346310300787,1.813254632935479,109.82075971400114,108.05320435819546,104.381039770223,108.06033515930176,35.26863810761558,430551300.0,28279730.0,0.8981627476641396,1
2019-04-01,111.5815887451172,111.66596772298894,110.71908781897976,111.51596383014106,22789100.0,0.009157281933909411,0.009115608246304493,0.008485986932594334,101.89486867006428,67.42451107282625,67.8932529843382,2.1438374500138053,2.2497542899958405,-0.10591683998203516,74.43172554654042,113.71539101102867,103.03903022310219,9.851112357606064,1.7620858152188734,110.17292552022435,108.37396657518833,104.6634142398267,108.37721061706543,35.798973405543954,453340400.0,28088785.0,0.8113238077047477,1
2019-04-02,111.74098205566406,112.01285877715333,111.11284962546054,111.6191020910702,18142300.0,0.0014284911367496989,0.0014274718138994487,0.008054423141228912,101.99337835206835,67.85891663096601,68.79782138873443,2.142920081851315,2.2283874483669357,-0.08546736651562048,74.88461031423977,113.98089441744553,103.47571874173416,9.661859000831134,1.7005089106812956,110.4865368273123,108.68005889159521,104.94096591887914,108.72830657958984,36.42570757624228,471482700.0,28018985.0,0.6475002574147494,1
2019-04-03,112.47222137451172,112.90347183991516,111.70346930095263,112.36909548576531,22860700.0,0.0065440566692298585,0.006522737289989721,0.010669323716535619,102.12384024633565,69.84560254817984,72.88636870680232,2.1761130857135385,2.2179325758362562,-0.041819490122717795,86.35625128476333,114.27686753380888,103.9503739823044,9.463982113105713,1.6647584555585262,110.8836737367522,109.02480093549671,105.23630927008043,109.11362075805664,37.33690560707119,494343400.0,28277670.0,0.8084364800918887,0
2019-04-04,111.90036010742188,112.71599030295768,110.98160400833854,112.59411033372132,20112800.0,-0.005084466725216119,-0.005097436608126262,0.015499380814808545,102.22976719399968,66.3895203495772,65.10307293355794,2.1317014282797686,2.2006863463249586,-0.06898491804519002,72.45309493724741,114.13650601141998,104.93167712456633,8.403620055715495,1.6697318726342847,111.08701101088614,109.28621540567173,105.49764459703499,109.53409156799316,37.4618811367291,474230600.0,28016360.0,0.7178948300207451,1
2019-04-05,112.39723205566406,112.71598678921438,111.90973365165668,111.92848056418076,15826200.0,0.004440306963849006,0.004430477886222753,0.007173247266075126,102.31571841056416,67.87683155383277,68.51161170938111,2.112249585098482,2.1829989940796635,-0.07074940898118154,82.45297958786576,113.84856265258195,106.0989982299864,7.0467382238742715,1.6087243590027291,111.34905521984173,109.56903510112556,105.76821665423613,109.97378044128418,37.577929842840014,490056800.0,27666750.0,0.572029602320475,1
2019-04-08,112.43472290039062,112.51909472801536,111.2253433030464,112.32221997764483,15116200.0,0.00033355665474044116,0.0003335010370868956,0.011506689317988839,102.39676795343338,67.99192540451699,68.78004775005509,2.075929039335236,2.161585003130778,-0.08565596379554208,83.20750824267549,113.8083062193943,106.80488042611353,6.349054559947244,1.5862262922860313,111.56618875595152,109.82955217378603,106.02964827173238,110.30659332275391,36.99762164593862,505173000.0,27097980.0,0.5578349382500097,0
2019-04-09,111.8253173828125,112.06907007984243,111.16906837455238,111.21593921652654,17612000.0,-0.005420082887721556,-0.0054348248294702846,0.008048282145348792,102.48394248662059,63.97920913942855,59.208116249053575,1.9752019147357345,2.1243083854517693,-0.14910647071603478,70.94280925374954,113.66587937323112,107.47793166192514,5.596310999924166,1.563328308968332,111.61801448132371,110.0109853746066,106.25692941334337,110.57190551757813,36.402400195047754,487561000.0,26671945.0,0.6603192980489424,1
2019-04-10,112.678466796875,112.82846352949576,112.06908853026442,112.27534029612453,16477200.0,0.007629304651485258,0.007600348689401546,0.006739308945339687,102.57136955759078,66.92240047047875,66.762952438925,1.941832731459229,2.0878132546532613,-0.14598052319403232,95.11192723368885,113.68324351640409,107.99400715498264,5.132900506651579,1.5233152973765414,111.83010494443398,110.25348368572192,106.50875440877599,110.83862533569337,36.264330505075975,504038200.0,25720115.0,0.6406347716563475,1
2019-04-11,112.80973815917967,113.29723657400008,112.42535849439912,113.00661293165986,14209100.0,0.0011650084176360043,0.0011643303219364565,0.007728748367190618,102.64653062074117,67.36426408500088,67.83240510295002,1.9040314260964237,2.051056888941894,-0.14702546284547013,90.24400061598348,113.6083817516261,108.60699834480945,4.501383661784505,1.4767840675354285,112.02603158738313,110.48587045603625,106.7558518107526,111.10769004821778,36.37634085941412,518247300.0,24892400.0,0.5708208127781974,1
2019-04-12,113.39097595214844,113.41910704807393,112.8472296914439,113.10035233413568,19745100.0,0.005152372503059999,0.0051391444496383006,0.005043411539833301,102.75503093696614,69.318594718622,72.41709326464111,1.8990832025179856,2.0206621516571124,-0.12157894913912681,99.45043352878552,113.7689107791757,108.9189699276114,4.355819307428059,1.4148258404896301,112.2990204603362,110.74997095568281,107.01605275747401,111.34394035339355,36.543250354636555,537992400.0,23145600.0,0.8530822272915802,1
2019-04-15,113.4847412109375,113.98161665739993,113.0347366230095,113.38161530854944,15792600.0,0.0008269199378672099,0.0008265782279402476,0.008343677081929787,102.84099870688117,69.63450070140384,73.13765312356604,1.8810442650591597,1.9927385743375219,-0.11169430927836221,91.25417777591397,114.044584456077,108.96954747141324,4.551314251523614,1.381401140053973,112.53616461045647,110.99858643343323,107.26972681447259,111.50706596374512,36.986189886605,553785000.0,22374850.0,0.705819256888873,0
2019-04-16,113.22222137451172,114.04722849897924,112.5940961520772,114.03785146731587,14071800.0,-0.0023132610924126995,-0.002315940814248675,0.0128343387831566,102.91458598376025,67.5378097191156,67.38753749178551,1.82453303918642,1.9590974673073016,-0.13456442812088154,84.05786673089631,114.23189069406665,109.07474230153882,4.618894050164036,1.3865247976859776,112.67337596326752,111.20073506444037,107.50315797368981,111.65331649780273,36.86145198240071,539713200.0,21199005.0,0.6637953054872151,1
2019-04-17,114.15972900390624,114.23473095516516,113.00660440176463,113.66285359383062,19300900.0,0.0082802440900136,0.008246150939366722,0.01075796661499175,103.0228651845315,70.90679349877875,75.43434177630603,1.834252396312607,1.9341284531083627,-0.09987605679575573,98.36397819938031,114.55620599182521,109.14886526671972,4.8343479159272205,1.375210637379874,112.97064657139526,111.46973451348272,107.76419997487477,111.85253562927247,36.85444507451219,559014100.0,20758385.0,0.9297881313984686,1
2019-04-18,115.65972900390624,115.80034870912957,113.71909839345446,114.5534753564819,27991000.0,0.013139484589602235,0.013053910347838588,0.01799459789158606,103.19690055766002,75.32011326159275,83.18086393659925,1.9406222356985126,1.9354272096263927,0.005195026072119857,97.23258245810749,115.15862213453393,108.841761624011,5.640044364684674,1.4256420429723906,113.50846305789747,111.85064310352122,108.07382856424856,112.00019187927246,37.63661578638556,587005100.0,20665215.0,1.3544983683934573,1
2019-04-22,116.0253677368164,116.2503664433392,114.90973693131684,114.95661494010822,15648700.0,0.003161331399089029,0.0031563448975402454,0.011554624115162022,103.29491765386774,76.2652697608116,84.56504076558255,2.0310128380056653,1.9545443353022474,0.07646850270341798,95.72957199534906,115.74894966778221,108.88049750629004,6.115362209095941,1.4195697193331027,114.01184399368127,112.23016352472987,108.38565362983945,112.31472358703613,38.55409102088972,602653800.0,19766425.0,0.7916808426409935,1
2019-04-23,117.60037231445312,117.73162215522176,116.09099199303388,116.34411464235058,24025500.0,0.013574657063008422,0.01348334681463016,0.013950892585620168,103.4607838949688,79.84575162024073,89.08097910015847,2.204327631328397,2.0045009945074774,0.1998266368209194,98.05556314201561,116.68478651898768,108.67403763872717,7.109327899806821,1.4400471978382632,114.72954965783565,112.71836432379563,108.74701514688313,112.67941207885742,39.95006066871628,626679300.0,19614345.0,1.2248943311642575,0
2019-04-24,117.19723510742188,117.98473408045491,116.7378535539067,117.9284861974038,31257000.0,-0.0034280266218316147,-0.0034339157677093024,0.010639163333549051,103.66491234745995,76.65809913236079,81.92336695752324,2.2828359385693062,2.060167983319843,0.22266795524946303,88.755042889057,117.34437534875403,108.68007533483973,7.666692685423886,1.4262495784604021,115.2230867477529,113.12553439503438,109.07839632180622,113.01222534179688,41.32870089233654,595422300.0,19872310.0,1.5728921298027254,1
2019-04-25,121.0784912109375,123.1597487486236,120.7784977280671,121.93162226484172,38033900.0,0.03311730093255272,0.032580737352488565,0.01966700275780606,103.9741965461234,83.49143292678562,90.49850718870297,2.627945943228596,2.1737235753015938,0.4542223679270023,82.64270689604375,118.87714430607018,108.30793488704505,9.30449258073056,1.7502684400847823,116.39416764038982,113.84853046920739,109.54898827824275,113.59253959655761,43.70721159846634,633456200.0,20637335.0,1.8429656736201647,1
2019-04-26,121.77227020263672,122.36290169989836,120.95664712939822,121.5941423348809,23654900.0,0.005729993698802671,0.005713639727271491,0.011548233174597487,104.16865278118883,84.37213610450374,91.35385336758293,2.923727365667247,2.3237243333747246,0.6000030322925225,88.4286920950109,120.25642091822202,108.14366300511783,10.60661424027297,1.7256960208287364,117.46978815283921,114.56887044497368,110.02833266743467,114.20004196166992,45.91582868272972,657111100.0,20903340.0,1.1316325525011792,0
2019-04-29,121.65978240966795,122.0441478122745,121.26603282067155,121.78164808627687,16324200.0,-0.0009237554065599785,-0.0009241823315219633,0.006395827579099083,104.29954544696295,83.59345187628713,89.82426425118489,3.113172731777894,2.4816140130553586,0.6315587187225353,87.49056523765583,121.38348757497086,108.12566693552718,11.553195486010342,1.658011661598323,118.30778700420497,115.21349880540043,110.48446795144382,114.75457725524902,47.96668740383143,640786900.0,20449560.0,0.7982665641705738,1
2019-04-30,122.43787384033205,122.53161553910437,121.30348913547223,121.6972386026946,24166500.0,0.0063956339165889275,0.006375268636453743,0.010030608708819123,104.49828838566509,84.64884284020815,91.03554258336814,3.2881908081650977,2.6429293720773064,0.6452614360877913,93.49114575616895,122.5470053502093,108.04777766981022,12.575503652344388,1.627305571743595,119.13380437143039,115.8702601722124,110.95322896669434,115.29739151000976,49.94809379307975,664953400.0,20518430.0,1.177794792291613,0
2019-05-01,119.88785552978516,122.4847351395324,119.7191047396247,122.3722393811446,26821700.0,-0.02082703848543055,-0.021046980437659978,0.02306847835159257,104.68319132868912,68.98647383361296,62.561697929242015,3.18442070867367,2.7512276393965793,0.4331930692770909,69.51952424544281,123.02443788942443,108.38503247800722,12.652382279923795,1.7086144880410317,119.28461460310135,116.23549611380992,111.30360647897241,115.70473518371583,50.1624533441183,638131700.0,20952400.0,1.2801254271587026,0
2019-05-02,118.3222427368164,120.00037382280424,117.67536343285236,119.98162691152947,27350200.0,-0.013058977375567382,-0.01314499551391376,0.01964981677302534,104.84826861978392,61.46674179877247,51.11088371505783,2.941937465374636,2.7893696045921907,0.15256786078244522,54.21479205753527,123.24404660213914,108.75042590152297,12.494798297737352,1.7526427667489488,119.09214022984436,116.42520035226505,111.57884711653493,115.99723625183105,48.69560404312925,610781500.0,21176875.0,1.291512557919901,1
2019-05-03,120.84412384033205,121.34099925657146,119.29724970376166,119.400375599877,24911100.0,0.02131366888578201,0.021089709322969715,0.016912279123394935,105.02268272530219,67.59426807469006,63.62323549133451,2.919607064034764,2.8154170964807057,0.10418996755405852,78.08346538813454,123.72851231458147,109.16033656237165,12.510840104591619,1.8430794633922425,119.4425369519419,116.82692066936205,111.94219130178188,116.44442443847656,47.82234671485544,635692600.0,21416790.0,1.1631575039956967,0
2019-05-06,120.14097595214844,120.52535552652098,118.2284765685761,118.4909762034751,24239800.0,-0.005818635328207256,-0.005835629540897091,0.019118197931567656,105.18140193572631,64.51385338876662,58.7335401964471,2.8127482905483134,2.8148833352942275,-0.002135044745914083,71.42843029438703,124.03683375849732,109.62638950810424,12.334370851292478,1.8982628782753643,119.58222475198322,117.12819842234263,112.26371226846292,116.83161163330078,46.260338422370566,611452800.0,21837470.0,1.1100095386507687,0
2019-05-07,117.67535400390624,119.23161216046104,116.45660459647064,118.55660896738084,36017700.0,-0.020522739462548123,-0.02073625724481554,0.023581892635719484,105.37330901033802,55.04157111747058,44.68442878635164,2.5002851269535853,2.751963693626099,-0.25167856667251387,45.983287961290074,124.01581321394279,110.17147316301033,11.823306264925328,2.025842055232681,119.20085060236782,117.17793983884842,112.47593351299011,117.09364318847656,43.72187284906494,575435100.0,22882545.0,1.5740250920516052,0
2019-05-08,117.66597747802734,118.47223045170574,116.95347335307416,117.60035256866183,28419000.0,-7.968130589675049e-05,-7.96844806206504e-05,0.012907359724396042,105.52050580425907,55.008493703090586,44.63705692072612,2.2262365422784427,2.6468182633565682,-0.4205817210781255,41.80727954204774,123.87333884683287,110.89801353964174,11.053584839287783,1.9896217011897455,118.89387597749973,117.22230689695559,112.67946464887393,117.3856761932373,41.36472624528114,547016100.0,23422895.0,1.2133000638904798,0
