,close,high,low,open,volume,returns,log_returns,hl_spread,vwap,rsi_14,rsi_7,macd,macd_sig,macd_diff,stoch_k,bb_high,bb_low,bb_width,atr_14,ema_9,ema_21,ema_50,sma_20,adx,obv,vol_sma,vol_ratio,target
2019-03-14,168.90689086914062,169.50906157046327,168.85909583951303,169.30834286502082,23751500.0,-0.0016947633148315377,-0.0016962010508226207,0.0038480711331889865,158.79085027713174,68.18384004538369,70.47444792223794,2.0963398114928395,2.138146651721023,-0.04180684022818326,85.79755671703944,169.03435432277186,162.62953270115392,3.862236361691019,1.9535162689897605,167.0702025481292,165.32436543087042,161.0919269608619,165.8319435119629,28.20948082576473,494450100.0,30051865.0,0.7903502827528341,1
2019-03-15,170.4744873046875,170.9810825784791,169.45172899929904,169.5664254129887,38192000.0,0.009280831749850726,0.00923802945432472,0.008971158109111388,159.03385959711818,71.74635719327739,76.69000883518193,2.2470043068097993,2.159918182738778,0.08708612407102123,94.44446536523826,169.8000358869918,162.54536816574256,4.365739759168212,1.9621359433003822,167.75105949944088,165.79255832849014,161.45987050375703,166.17270202636718,28.948453672770036,532642100.0,30445125.0,1.2544537097482766,1
2019-03-18,170.88047790527344,171.3975802858128,170.05695693128135,170.4016869811278,32935100.0,0.002381532902693717,0.002378701547629561,0.00784538626626867,159.2425994040166,72.60200373478388,78.0840364313915,2.3718261182096114,2.202299769832945,0.16952634837666647,94.57693773506762,170.56101472551887,162.43768675153188,4.878894685147488,1.9177421869597449,168.3769431806074,166.25509647183407,161.82930608813024,166.49935073852538,29.75303857248063,565577200.0,30465795.0,1.0810517171798735,1
2019-03-19,171.45506286621094,172.36476285899167,170.72729118275277,171.5795385924272,36893300.0,0.0033624962194687136,0.0033568556697371704,0.00955044224921283,159.4789812636303,73.81083200886724,80.05363652535694,2.4884274645581854,2.259525308777993,0.22890215578019246,91.33819476097958,171.34196824818363,162.33499098033198,5.398621042745302,1.897722864765399,168.99256711772813,166.72782068950468,162.2067867460942,166.8384796142578,30.770043892849863,602470500.0,31336075.0,1.1773427271922217,1
2019-03-20,172.1348876953125,173.18823345009122,170.67937397612084,171.46458340206138,50105000.0,0.003965032106587829,0.003957192083912622,0.014574962156487323,159.80314824060275,75.20476375401874,82.25496072778674,2.6056546884968554,2.3287511847217655,0.27690350377509,90.69967294540166,172.14936113464606,162.27670392883053,5.904239075349359,1.9413754797086116,169.62103123324502,167.2193722354872,162.5961240382204,167.2130325317383,31.933533037268173,652575500.0,32211675.0,1.555491914034275,1
2019-03-21,174.82574462890625,175.0747106771811,171.59868350302827,171.61783923336975,42428500.0,0.015632257757978163,0.015511332610595117,0.019882810632559898,160.12206558681945,79.79002300386699,88.24548991107395,2.882460563054593,2.4394930603883314,0.44296750266626184,98.11566047970302,173.47792819091325,162.026544160161,6.826367440353787,2.0509934578831976,170.66197391237728,167.91086063488893,163.07571700256105,167.75223617553712,33.464083419244574,695004000.0,33072730.0,1.2828847210375436,0
2019-03-22,170.9857635498047,174.538397619131,170.80382071286263,174.06917738762442,70794500.0,-0.021964620183671957,-0.022209433920326878,0.021841449420907794,160.49371650677514,62.13225137898851,56.493452098419084,2.760159432103933,2.5036263347314516,0.2565330973724813,69.0521469818469,173.80933310413482,162.26815713024016,6.868163628481063,2.191774204894656,170.72673183986277,168.19039726351764,163.38591490637452,168.0387451171875,34.323906357089704,624209500.0,35225685.0,2.0097409035480784,0
2019-03-25,170.6602325439453,171.2539285946164,169.4249438179206,170.36338451860976,46336500.0,-0.001903848595936175,-0.0019056632192187384,0.010717111710397161,160.71637342810834,60.90179740122631,54.55211591089247,2.60691636400162,2.5242843405854853,0.08263202341613463,66.58831328374488,174.06610828019336,162.49163097761914,6.878152514393886,2.1658606743090245,170.71343198067927,168.41492774355652,163.67118226471064,168.27886962890625,34.214208590207605,577873000.0,35912070.0,1.29027650035211,1
2019-03-26,171.45506286621094,173.02549678779786,170.5836597249871,171.98173589725516,33248100.0,0.004657384502631201,0.004646572445037842,0.014241848691958313,160.8825183898745,62.83699729247285,58.604279235633214,2.520550950438377,2.523537662556064,-0.0029867121176869738,72.60411422750295,174.3985320804007,162.70173342252897,6.93965555940512,2.185573273487721,170.86175815778563,168.6913036637978,163.9764324843773,168.55013275146484,34.63015074355688,611121100.0,36477490.0,0.9114689634621241,0
2019-03-27,170.35382080078125,172.09662694020403,169.1089759715259,171.71360000990097,37096700.0,-0.006422919492841128,-0.006443635191397539,0.01753791581917039,161.0432424876556,58.51551147002051,51.222081841426615,2.336313143134447,2.4860927586717407,-0.1497796155372937,64.26918679590449,174.5404402197568,163.00274367916901,6.83627878798621,2.242864537429894,170.76017068638475,168.84244158534176,164.22652614384413,168.7715919494629,34.134509139834684,574024400.0,37074225.0,1.0006062163133551,1
2019-03-28,170.74644470214844,171.38802289109304,169.72183955642973,170.79432672463065,30368200.0,0.002304755476111975,0.0023021036010437423,0.009758231496824548,161.17618950087208,59.58275373179659,53.65059903080916,2.196663056687612,2.4282068182749152,-0.23154376158730328,59.97243655941268,174.6623560979734,163.4012364313235,6.662130980977494,2.201673022946567,170.7574254895375,169.01553277777873,164.48220922456196,169.03179626464845,33.67427050780692,604392600.0,37338360.0,0.8133244202477024,1
2019-03-29,172.03916931152344,172.20195648270058,171.01454965515268,172.06789559987584,35205500.0,0.007571019189477335,0.007542502865009176,0.006901956294602784,161.34603728969543,62.96142194278938,61.091686354936655,2.165340729231417,2.375633600466216,-0.2102928712347989,62.160516477054706,174.9674817996737,163.63109608118566,6.6960622158767,2.148375791346965,171.01377425393468,169.29040882630096,164.77856060052125,169.29928894042968,33.52281784714955,639598100.0,37527075.0,0.9381359991419529,1
2019-04-01,174.3181915283203,174.52886070180634,173.1020731131974,173.8106743226147,30969500.0,0.01324711242164911,0.013160136703961179,0.008184960938957027,161.52203784953332,68.03466138470442,70.75010321152804,2.297926538641491,2.360092188101271,-0.06216564945977998,88.38255107665064,175.61697892805117,163.74161787370664,6.998709427880927,2.172755476985246,171.67465770881182,169.74747998102998,165.15266377416043,169.6792984008789,34.07269978900699,670567600.0,37172375.0,0.833132131051621,1
2019-04-02,174.9789276123047,175.15129994355448,174.06922777579706,174.50972185651142,22645200.0,0.0037904023566985856,0.003783236882664428,0.006184014169722941,161.6542286759206,69.34561640795444,73.01578821473905,2.4283254041251325,2.3737388313060435,0.054586572819089074,97.2605413238411,176.2991407427601,163.87311877872426,7.305723271800796,2.0948495263261155,172.3355116895104,170.2230661293277,165.53800745408765,170.08612976074218,34.747450161007585,693212800.0,37188640.0,0.6089278876560154,1
2019-04-03,175.9844207763672,177.0760636842204,175.43860662821157,175.9652650449194,31633500.0,0.005746367164224164,0.005729919774842947,0.00930455689648592,161.84821035278043,71.27618978078239,76.27808074898945,2.5830268143395188,2.415596427912739,0.16743038642677988,86.29809351648252,176.9960337284471,164.18507283893572,7.509771580497067,2.095012851011087,173.06529350688177,170.74682564269492,165.94767072162801,170.5905532836914,35.838755017380954,724846300.0,37410585.0,0.8455761918718994,0
