ticker,final_value,return,bh_return,alpha,sharpe,max_drawdown,calmar,win_rate,profit_factor,n_trades
SPY,10361.725201782265,3.6172520178226475,14.824598775867143,-11.207346758044496,-0.0805489060871926,-21.12576812408693,0.17122463886642642,54.285714285714285,1.2699686294714863,35
QQQ,10555.064121093783,5.550641210937829,20.370334236292948,-14.819693025355118,0.036245130863393205,-25.63129811009742,0.21655716332022842,60.0,1.2515837250861488,35
AAPL,11561.0674467316,15.610674467316002,6.24751285241955,9.363161614896452,0.3333423082072012,-32.46770831340651,0.4808061695216742,51.42857142857142,1.3348105226676805,35
